"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 10 02:44:30 UTC 2023","Thu Aug 10 02:44:31 UTC 2023","828","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Aug 10 02:49:32 UTC 2023","Thu Aug 10 02:49:35 UTC 2023","2809","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Aug 10 03:58:48 UTC 2023","Thu Aug 10 03:58:51 UTC 2023","3379","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Thu Aug 10 03:45:09 UTC 2023","Thu Aug 10 03:45:19 UTC 2023","10324","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Thu Aug 10 03:03:04 UTC 2023","Thu Aug 10 03:03:13 UTC 2023","9558","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"skipped","Thu Aug 10 05:23:28 UTC 2023","Thu Aug 10 05:23:28 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Thu Aug 10 03:37:24 UTC 2023","Thu Aug 10 03:37:45 UTC 2023","21452","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Thu Aug 10 02:33:13 UTC 2023","Thu Aug 10 02:33:24 UTC 2023","11471","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Thu Aug 10 03:38:31 UTC 2023","Thu Aug 10 03:38:43 UTC 2023","11938","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Thu Aug 10 03:58:57 UTC 2023","Thu Aug 10 03:59:13 UTC 2023","15820","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Thu Aug 10 03:13:20 UTC 2023","Thu Aug 10 03:13:23 UTC 2023","3329","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Aug 10 03:52:09 UTC 2023","Thu Aug 10 03:52:11 UTC 2023","2216","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Thu Aug 10 04:23:51 UTC 2023","Thu Aug 10 04:24:00 UTC 2023","8475","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Thu Aug 10 03:18:02 UTC 2023","Thu Aug 10 03:18:04 UTC 2023","2498","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Aug 10 03:42:23 UTC 2023","Thu Aug 10 03:42:41 UTC 2023","17961","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"skipped","Thu Aug 10 02:33:13 UTC 2023","Thu Aug 10 02:33:13 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Thu Aug 10 03:37:59 UTC 2023","Thu Aug 10 03:38:27 UTC 2023","28007","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Thu Aug 10 03:38:27 UTC 2023","Thu Aug 10 03:38:30 UTC 2023","3109","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Thu Aug 10 03:17:47 UTC 2023","Thu Aug 10 03:18:02 UTC 2023","14498","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Thu Aug 10 03:58:51 UTC 2023","Thu Aug 10 03:58:54 UTC 2023","2726","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Thu Aug 10 04:10:49 UTC 2023","Thu Aug 10 04:10:51 UTC 2023","2429","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Thu Aug 10 02:34:15 UTC 2023","Thu Aug 10 02:34:41 UTC 2023","25594","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Thu Aug 10 03:12:16 UTC 2023","Thu Aug 10 03:12:27 UTC 2023","11399","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Thu Aug 10 02:44:18 UTC 2023","Thu Aug 10 02:44:30 UTC 2023","11729","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Thu Aug 10 02:32:28 UTC 2023","Thu Aug 10 02:33:02 UTC 2023","34748","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Aug 10 02:34:41 UTC 2023","Thu Aug 10 02:34:52 UTC 2023","11122","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
